entity,instance,name,value,dataset_date,table_name,tag,check,date,category,level
Column,total_distance,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_stay_duration,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_move_duration,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_stay,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_move,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_hit,ApproxQuantiles-0.5,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_duration_session,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_volume,ApproxQuantiles-0.5,425487,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,distance,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_distance,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_stay_duration,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_move_duration,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_stay,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_move,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_hit,ApproxQuantiles-0.75,2,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_duration_session,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_volume,ApproxQuantiles-0.75,9758446,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,distance,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_distance,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_stay_duration,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_move_duration,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_stay,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_move,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
